main_command	description	commands	raw_text
tc[...]	[type]	"[{""command"": ""tc"", ""description"": ""list all loaded types in C output format with newlines""}, {""command"": ""tc [type.name]"", ""description"": ""list given loaded type in C output format with newlines""}, {""command"": ""tcd"", ""description"": ""list all loaded types in C output format without newlines""}, {""command"": ""tcc[?]"", ""description"": ""manage calling convention types""}]"	"Usage: tc[...]  [type]  Print loaded types
| tc              list all loaded types in C output format with newlines
| tc [type.name]  list given loaded type in C output format with newlines
| tcd             list all loaded types in C output format without newlines
| tcc[?]          manage calling convention types"
tcc [-name]	Type function calling conventions (see also afc? and arcc)	"[{""command"": ""tcc"", ""description"": ""list all calling conventions""}, {""command"": ""tcc*"", ""description"": ""list calling conventions as r2 commands""}, {""command"": ""tcck"", ""description"": ""list calling conventions in k=v format""}, {""command"": ""tccl"", ""description"": ""list cc signatures (return ccname (arg0, arg1, ..) err;)""}, {""command"": ""tccj"", ""description"": ""list them in JSON""}, {""command"": ""tcc <ret> ([args]) ([err])"", ""description"": ""define function cc""}, {""command"": ""tcc r0 pascal(r0,r1,r2)"", ""description"": ""define signature for pascal cc (see also arcc)""}, {""command"": ""tcc-<name>"", ""description"": ""unregister calling convention by name""}, {""command"": ""tcc-*"", ""description"": ""unregister all calling conventions""}]"	"Usage: tcc [-name]  Type function calling conventions (see also afc? and arcc)
| tcc                         list all calling conventions
| tcc*                        list calling conventions as r2 commands
| tcck                        list calling conventions in k=v format
| tccl                        list cc signatures (return ccname (arg0, arg1, ..) err;)
| tccj                        list them in JSON
| tcc <ret> ([args]) ([err])  define function cc
| tcc r0 pascal(r0,r1,r2)     define signature for pascal cc (see also arcc)
| tcc-<name>                  unregister calling convention by name
| tcc-*                       unregister all calling conventions"
te[...]	Type enum commands	"[{""command"": ""te"", ""description"": ""list all loaded enums""}, {""command"": ""te <enum>"", ""description"": ""print all values of enum for given name""}, {""command"": ""te <enum> <value>"", ""description"": ""show name for given enum number""}, {""command"": ""te-<enum>"", ""description"": ""delete enum type definition""}, {""command"": ""teb <enum> <name>"", ""description"": ""show matching enum bitfield for given name""}, {""command"": ""tec"", ""description"": ""list all loaded enums in C output format with newlines""}, {""command"": ""tec <name>"", ""description"": ""list given loaded enums in C output format with newlines""}, {""command"": ""ted"", ""description"": ""list all loaded enums in C output format without newlines""}, {""command"": ""tej"", ""description"": ""list all loaded enums in json""}, {""command"": ""tej <enum>"", ""description"": ""show enum in json""}, {""command"": ""test [-x,f,d] [path]"", ""description"": ""test if executable, file or directory exists""}]"	"Usage: te[...]  Type enum commands
| te                    list all loaded enums
| te <enum>             print all values of enum for given name
| te <enum> <value>     show name for given enum number
| te-<enum>             delete enum type definition
| teb <enum> <name>     show matching enum bitfield for given name
| tec                   list all loaded enums in C output format with newlines
| tec <name>            list given loaded enums in C output format with newlines
| ted                   list all loaded enums in C output format without newlines
| tej                   list all loaded enums in json
| tej <enum>            show enum in json
| test [-x,f,d] [path]  test if executable, file or directory exists"
tf[...]		"[{""command"": ""tf"", ""description"": ""list all function definitions loaded""}, {""command"": ""tf <name>"", ""description"": ""show function signature""}, {""command"": ""tfc <name>"", ""description"": ""show function signature in C syntax""}, {""command"": ""tfcj <name>"", ""description"": ""same as above but in JSON""}, {""command"": ""tfj"", ""description"": ""list all function definitions in JSON""}, {""command"": ""tfj <name>"", ""description"": ""show function signature in JSON""}]"	"Usage: tf[...]
| tf           list all function definitions loaded
| tf <name>    show function signature
| tfc <name>   show function signature in C syntax
| tfcj <name>  same as above but in JSON
| tfj          list all function definitions in JSON
| tfj <name>   show function signature in JSON"
tl[...] [typename] [[=] address]	Type link commands	"[{""command"": ""tl"", ""description"": ""list all links.""}, {""command"": ""tll"", ""description"": ""list all links in readable format.""}, {""command"": ""tllj"", ""description"": ""list all links in readable JSON format.""}, {""command"": ""tl [typename]"", ""description"": ""link a type to current address.""}, {""command"": ""tl [typename] = [address]"", ""description"": ""link type to given address.""}, {""command"": ""tls [address]"", ""description"": ""show link at given address.""}, {""command"": ""tl-*"", ""description"": ""delete all links.""}, {""command"": ""tl- [address]"", ""description"": ""delete link at given address.""}, {""command"": ""tl*"", ""description"": ""list all links in radare2 command format.""}, {""command"": ""tlj"", ""description"": ""list all links in JSON format.""}]"	"Usage: tl[...] [typename] [[=] address]  Type link commands
| tl                         list all links.
| tll                        list all links in readable format.
| tllj                       list all links in readable JSON format.
| tl [typename]              link a type to current address.
| tl [typename] = [address]  link type to given address.
| tls [address]              show link at given address.
| tl-*                       delete all links.
| tl- [address]              delete link at given address.
| tl*                        list all links in radare2 command format.
| tlj                        list all links in JSON format."
tn [-][0xaddr|symname]	manage no-return marks	"[{""command"": ""tn[a] 0x3000"", ""description"": ""stop function analysis if call/jmp to this address""}, {""command"": ""tn[n] sym.imp.exit"", ""description"": ""same as above but for flag/fcn names""}, {""command"": ""tnf"", ""description"": ""same as `afl,noret/eq/1`""}, {""command"": ""tn- 0x3000 sym.imp.exit ..."", ""description"": ""remove some no-return references""}, {""command"": ""tn-*"", ""description"": ""remove all no-return references""}, {""command"": ""tn"", ""description"": ""list them all""}]"	"Usage: tn [-][0xaddr|symname]   manage no-return marks
| tn[a] 0x3000                 stop function analysis if call/jmp to this address
| tn[n] sym.imp.exit           same as above but for flag/fcn names
| tnf                          same as `afl,noret/eq/1`
| tn- 0x3000 sym.imp.exit ...  remove some no-return references
| tn-*                         remove all no-return references
| tn                           list them all"
to[...]		"[{""command"": ""to -"", ""description"": ""open cfg.editor to load types""}, {""command"": ""to <path>"", ""description"": ""load types from C header file""}, {""command"": ""tos <path>"", ""description"": ""load types from parsed Sdb database""}, {""command"": ""toe [type.name]"", ""description"": ""open cfg.editor to edit types""}, {""command"": ""tos <path>"", ""description"": ""load types from parsed Sdb database""}, {""command"": ""touch <file>"", ""description"": ""create or update timestamp in file""}]"	"Usage: to[...]
| to -             open cfg.editor to load types
| to <path>        load types from C header file
| tos <path>       load types from parsed Sdb database
| toe [type.name]  open cfg.editor to edit types
| tos <path>       load types from parsed Sdb database
| touch <file>     create or update timestamp in file"
tp[vx]	<type> [...]	"[{""command"": ""tp"", ""description"": ""<type> [addr|varname] cast data at <address> to <type> and print it (XXX: type can contain spaces)""}, {""command"": ""tpv <type> [@addr]"", ""description"": ""show offset formatted for given type""}, {""command"": ""tpx <type> <hexpairs>"", ""description"": ""show value for type with specified byte sequence (XXX: type can contain spaces)""}]"	"Usage: tp[vx]  <type> [...]  Print type
| tp  <type> [addr|varname]  cast data at <address> to <type> and print it (XXX: type can contain spaces)
| tpv <type> [@addr]         show offset formatted for given type
| tpx <type> <hexpairs>      show value for type with specified byte sequence (XXX: type can contain spaces)"
ts[...]	[type]	"[{""command"": ""ts"", ""description"": ""list all loaded structs""}, {""command"": ""ts [type]"", ""description"": ""show pf format string for given struct""}, {""command"": ""ts-[type]"", ""description"": ""delete struct type definition""}, {""command"": ""tsj"", ""description"": ""list all loaded structs in json""}, {""command"": ""tsj [type]"", ""description"": ""show pf format string for given struct in json""}, {""command"": ""ts*"", ""description"": ""show pf.<name> format string for all loaded structs""}, {""command"": ""ts* [type]"", ""description"": ""show pf.<name> format string for given struct""}, {""command"": ""tsc<name>"", ""description"": ""list all/given loaded structs in C output format with newlines""}, {""command"": ""tsd"", ""description"": ""list all loaded structs in C output format without newlines""}, {""command"": ""tss [type]"", ""description"": ""display size of struct""}]"	"Usage: ts[...]  [type]
| ts          list all loaded structs
| ts [type]   show pf format string for given struct
| ts-[type]   delete struct type definition
| tsj         list all loaded structs in json
| tsj [type]  show pf format string for given struct in json
| ts*         show pf.<name> format string for all loaded structs
| ts* [type]  show pf.<name> format string for given struct
| tsc<name>   list all/given loaded structs in C output format with newlines
| tsd         list all loaded structs in C output format without newlines
| tss [type]  display size of struct"
tt[...]	Type typedef commands	"[{""command"": ""tt"", ""description"": ""list all loaded typedefs""}, {""command"": ""tt <typename>"", ""description"": ""show name for given type alias""}, {""command"": ""ttj"", ""description"": ""show typename and type alias in json""}, {""command"": ""ttc<name>"", ""description"": ""show typename and type alias in C output format""}]"	"Usage: tt[...]  Type typedef commands
| tt             list all loaded typedefs
| tt <typename>  show name for given type alias
| ttj            show typename and type alias in json
| ttc<name>      show typename and type alias in C output format"
tu[...]		"[{""command"": ""tu"", ""description"": ""list all loaded unions""}, {""command"": ""tu [type]"", ""description"": ""show pf format string for given union""}, {""command"": ""tuj"", ""description"": ""list all loaded unions in json""}, {""command"": ""tuj [type]"", ""description"": ""show pf format string for given union in json""}, {""command"": ""tu*"", ""description"": ""show pf.<name> format string for all loaded unions""}, {""command"": ""tu* [type]"", ""description"": ""show pf.<name> format string for given union""}, {""command"": ""tuc<name>"", ""description"": ""list all/given loaded unions in C output format with newlines""}, {""command"": ""tud"", ""description"": ""list all loaded unions in C output format without newlines""}]"	"Usage: tu[...]
| tu          list all loaded unions
| tu [type]   show pf format string for given union
| tuj         list all loaded unions in json
| tuj [type]  show pf format string for given union in json
| tu*         show pf.<name> format string for all loaded unions
| tu* [type]  show pf.<name> format string for given union
| tuc<name>   list all/given loaded unions in C output format with newlines
| tud         list all loaded unions in C output format without newlines"
tx[.tflg] [...]	Function types	"[{""command"": ""tx"", ""description"": ""list functions and the types they use""}, {""command"": ""tx."", ""description"": ""same as txf""}, {""command"": ""tx int32_t"", ""description"": ""list functions names using this type""}, {""command"": ""txt int32_t"", ""description"": ""same as 'tx type'""}, {""command"": ""txf ([addr])"", ""description"": ""list all types used in the current or given function (same as tx.)""}, {""command"": ""txl"", ""description"": ""list all types used by any function""}, {""command"": ""txg"", ""description"": ""render the type xrefs graph (usage .txg;aggv)""}]"	"Usage: tx[.tflg] [...]  Function types
| tx            list functions and the types they use
| tx.           same as txf
| tx int32_t    list functions names using this type
| txt int32_t   same as 'tx type'
| txf ([addr])  list all types used in the current or given function (same as tx.)
| txl           list all types used by any function
| txg           render the type xrefs graph (usage .txg;aggv)"
T	[-][ num|msg] # text-log utility with timestamps	"[{""command"": ""T"", ""description"": ""list all Text log messages""}, {""command"": ""T message"", ""description"": ""add new log message""}, {""command"": ""T 123"", ""description"": ""list log from 123""}, {""command"": ""T 10 3"", ""description"": ""list 3 log messages starting from 10""}, {""command"": ""T*"", ""description"": ""list in radare commands""}, {""command"": ""T-"", ""description"": ""delete all logs""}, {""command"": ""T- 123"", ""description"": ""delete logs before 123""}, {""command"": ""Tl"", ""description"": ""get last log message id""}, {""command"": ""Tj"", ""description"": ""list in json format""}, {""command"": ""Tm [idx]"", ""description"": ""display log messages without index""}, {""command"": ""TT"", ""description"": ""enter into the text log chat console""}, {""command"": ""T=[.]"", ""description"": ""pull logs from remote r2 instance specified by http.sync""}, {""command"": ""T=&"", ""description"": ""start background thread syncing with the remote server""}]"	"Usage: T  [-][ num|msg] # text-log utility with timestamps
| T          list all Text log messages
| T message  add new log message
| T 123      list log from 123
| T 10 3     list 3 log messages starting from 10
| T*         list in radare commands
| T-         delete all logs
| T- 123     delete logs before 123
| Tl         get last log message id
| Tj         list in json format
| Tm [idx]   display log messages without index
| TT         enter into the text log chat console
| T=[.]      pull logs from remote r2 instance specified by http.sync
| T=&        start background thread syncing with the remote server"
u	uname or undo write/seek	"[{""command"": ""u"", ""description"": ""show system uname (alias for uname)""}, {""command"": ""uw"", ""description"": ""alias for wc (requires: e io.cache=true)""}, {""command"": ""us"", ""description"": ""alias for s- (seek history)""}, {""command"": ""uc[?]"", ""description"": ""undo core commands (uc?, ucl, uc*, ..) (see `e cmd.undo`)""}, {""command"": ""uid"", ""description"": ""display numeric user id""}, {""command"": ""uniq"", ""description"": ""filter rows to avoid duplicates""}, {""command"": ""uname[?]"", ""description"": ""uname - show system information""}]"	"Usage: u  uname or undo write/seek
| u         show system uname (alias for uname)
| uw        alias for wc (requires: e io.cache=true)
| us        alias for s- (seek history)
| uc[?]     undo core commands (uc?, ucl, uc*, ..) (see `e cmd.undo`)
| uid       display numeric user id
| uniq      filter rows to avoid duplicates
| uname[?]  uname - show system information"
uc [cmd],[revert-cmd]	undo core commands (see `e cmd.undo`)	"[{""command"": ""uc w hello,w world"", ""description"": ""add a new undo command manually""}, {""command"": ""uc"", ""description"": ""list all core undos commands""}, {""command"": ""uc*"", ""description"": ""list all core undos as r2 commands""}, {""command"": ""ucu"", ""description"": ""up : undo previous action""}, {""command"": ""ucd"", ""description"": ""down : redo action""}, {""command"": ""uc-"", ""description"": ""undo last action""}, {""command"": ""uc."", ""description"": ""list all reverts in current""}]"	"Usage: uc [cmd],[revert-cmd]  undo core commands (see `e cmd.undo`)
| uc w hello,w world  add a new undo command manually
| uc                  list all core undos commands
| uc*                 list all core undos as r2 commands
| ucu                 up : undo previous action
| ucd                 down : redo action
| uc-                 undo last action
| uc.                 list all reverts in current"
uname	show information about the current system	"[{""command"": ""uname"", ""description"": ""show host operating system""}, {""command"": ""uname -a"", ""description"": ""show more system details""}, {""command"": ""uname -j"", ""description"": ""show uname information in JSON""}, {""command"": ""uname -b"", ""description"": ""show machine cpu register bits size""}, {""command"": ""uname -m"", ""description"": ""show machine cpu architecture name""}, {""command"": ""uname -r"", ""description"": ""show operating system version""}]"	"Usage: uname  show information about the current system
| uname     show host operating system
| uname -a  show more system details
| uname -j  show uname information in JSON
| uname -b  show machine cpu register bits size
| uname -m  show machine cpu architecture name
| uname -r  show operating system version"
w[x] [str] [<file] [<<EOF] [@addr]		"[{""command"": ""w[1248][+-][n]"", ""description"": ""increment/decrement byte,word..""}, {""command"": ""w foobar"", ""description"": ""write string 'foobar'""}, {""command"": ""w+string"", ""description"": ""write string and seek to its null terminator""}, {""command"": ""w0 [len]"", ""description"": ""write 'len' bytes with value 0x00""}, {""command"": ""w6[d|e|x] base64/string/hex"", ""description"": ""write base64 [d]ecoded or [e]ncoded string""}, {""command"": ""wa[?] push ebp"", ""description"": ""write opcode, separated by ';' (use '\""' around the command)""}, {""command"": ""waf f.asm"", ""description"": ""assemble file and write bytes""}, {""command"": ""waF f.asm"", ""description"": ""assemble file and write bytes and show 'wx' op with hexpair bytes of assembled code""}, {""command"": ""wao[?] op"", ""description"": ""modify opcode (change conditional of jump. nop, etc) (RArch.patch)""}, {""command"": ""wb 011001"", ""description"": ""write bits in bit big endian (see pb)""}, {""command"": ""wB[-]0xVALUE"", ""description"": ""set or unset bits with given value (also wB-0x2000)""}, {""command"": ""wc[?][jir+-*?]"", ""description"": ""write cache list/undo/commit/reset (io.cache)""}, {""command"": ""wd [off] [n]"", ""description"": ""copy N bytes from OFF to $$ (memcpy) (see y?)""}, {""command"": ""we[?] [nNsxX] [arg]"", ""description"": ""extend write operations (insert instead of replace)""}, {""command"": ""wf[fs] -|file"", ""description"": ""write contents of file at current offset""}, {""command"": ""wg[et] [http://host/file]"", ""description"": ""download file from http server and save it to disk (wget)""}, {""command"": ""wh r2"", ""description"": ""whereis/which shell command""}, {""command"": ""wm f0ff"", ""description"": ""set binary mask hexpair to be used as cyclic write mask""}, {""command"": ""wo[?] hex"", ""description"": ""write in block with operation. 'wo?' fmi""}, {""command"": ""wp[?] -|file"", ""description"": ""apply radare patch file. See wp? fmi""}, {""command"": ""wr 10"", ""description"": ""write 10 random bytes""}, {""command"": ""ws[?] pstring"", ""description"": ""write pascal string: 1 byte for length + N for the string""}, {""command"": ""wt[?][afs] [filename] [size]"", ""description"": ""write to file (from current seek, blocksize or sz bytes)""}, {""command"": ""ww foobar"", ""description"": ""write wide string 'f\\x00o\\x00o\\x00b\\x00a\\x00r\\x00'""}, {""command"": ""wx[?][fs] 9090"", ""description"": ""write two intel nops (from wxfile or wxseek)""}, {""command"": ""wX 1b2c3d"", ""description"": ""fill current block with cyclic hexpairs""}, {""command"": ""wv[?] eip+34"", ""description"": ""write 32-64 bit value honoring cfg.bigendian""}, {""command"": ""wu [unified-diff-patch]"", ""description"": ""see 'cu'""}, {""command"": ""wz string"", ""description"": ""write zero terminated string (like w + \\x00)""}]"	"Usage: w[x] [str] [<file] [<<EOF] [@addr]
| w[1248][+-][n]                increment/decrement byte,word..
| w foobar                      write string 'foobar'
| w+string                      write string and seek to its null terminator
| w0 [len]                      write 'len' bytes with value 0x00
| w6[d|e|x] base64/string/hex   write base64 [d]ecoded or [e]ncoded string
| wa[?] push ebp                write opcode, separated by ';' (use '""' around the command)
| waf f.asm                     assemble file and write bytes
| waF f.asm                     assemble file and write bytes and show 'wx' op with hexpair bytes of assembled code
| wao[?] op                     modify opcode (change conditional of jump. nop, etc) (RArch.patch)
| wb 011001                     write bits in bit big endian (see pb)
| wB[-]0xVALUE                  set or unset bits with given value (also wB-0x2000)
| wc[?][jir+-*?]                write cache list/undo/commit/reset (io.cache)
| wd [off] [n]                  copy N bytes from OFF to $$ (memcpy) (see y?)
| we[?] [nNsxX] [arg]           extend write operations (insert instead of replace)
| wf[fs] -|file                 write contents of file at current offset
| wg[et] [http://host/file]     download file from http server and save it to disk (wget)
| wh r2                         whereis/which shell command
| wm f0ff                       set binary mask hexpair to be used as cyclic write mask
| wo[?] hex                     write in block with operation. 'wo?' fmi
| wp[?] -|file                  apply radare patch file. See wp? fmi
| wr 10                         write 10 random bytes
| ws[?] pstring                 write pascal string: 1 byte for length + N for the string
| wt[?][afs] [filename] [size]  write to file (from current seek, blocksize or sz bytes)
| ww foobar                     write wide string 'f\x00o\x00o\x00b\x00a\x00r\x00'
| wx[?][fs] 9090                write two intel nops (from wxfile or wxseek)
| wX 1b2c3d                     fill current block with cyclic hexpairs
| wv[?] eip+34                  write 32-64 bit value honoring cfg.bigendian
| wu [unified-diff-patch]       see 'cu'
| wz string                     write zero terminated string (like w + \x00)"
wa[of*] [arg]		"[{""command"": ""wa nop"", ""description"": ""write nopcode using asm.arch and asm.bits""}, {""command"": ""wai jmp 0x8080"", ""description"": ""write inside this op (fill with nops or error if doesnt fit)""}, {""command"": ""wan jmp 0x8080"", ""description"": ""write instruction(s) nopping the trailing bytes""}, {""command"": ""wa+ nop"", ""description"": ""write a nop and seek after it (use 7wa+nop to write 7 consecutive nops)""}, {""command"": ""wa* mov eax, 33"", ""description"": ""show 'wx' op with hexpair bytes of assembled opcode""}, {""command"": ""'wa nop;nop"", ""description"": ""assemble more than one instruction (note the single quote)""}, {""command"": ""waf f.asm"", ""description"": ""assemble file and write bytes""}, {""command"": ""waF f.asm"", ""description"": ""assemble file and write bytes and show 'wx' op with hexpair bytes of assembled code""}, {""command"": ""waF* f.asm"", ""description"": ""assemble file and show 'wx' op with hexpair bytes of assembled code""}, {""command"": ""wao?"", ""description"": ""show help for assembler operation on current opcode (hack)""}, {""command"": ""wao [op]"", ""description"": ""performs a modification on current opcode""}, {""command"": ""wao+[op]"", ""description"": ""same as 'wao', but seeks forward after writing""}, {""command"": ""wao nop"", ""description"": ""nop current opcode""}, {""command"": ""wao jinf"", ""description"": ""assemble an infinite loop""}, {""command"": ""wao jz"", ""description"": ""make current opcode conditional (same as je) (zero)""}, {""command"": ""wao jnz"", ""description"": ""make current opcode conditional (same as jne) (not zero)""}, {""command"": ""wao ret1"", ""description"": ""make the current opcode return 1""}, {""command"": ""wao ret0"", ""description"": ""make the current opcode return 0""}, {""command"": ""wao retn"", ""description"": ""make the current opcode return -1""}, {""command"": ""wao nocj"", ""description"": ""remove conditional operation from branch (make it unconditional)""}, {""command"": ""wao trap"", ""description"": ""make the current opcode a trap""}, {""command"": ""wao recj"", ""description"": ""reverse (swap) conditional branch instruction""}, {""command"": ""WIP:"", ""description"": ""not all archs are supported and not all commands work on all archs""}]"	"Usage: wa[of*] [arg]
| wa nop           write nopcode using asm.arch and asm.bits
| wai jmp 0x8080   write inside this op (fill with nops or error if doesnt fit)
| wan jmp 0x8080   write instruction(s) nopping the trailing bytes
| wa+ nop          write a nop and seek after it (use 7wa+nop to write 7 consecutive nops)
| wa* mov eax, 33  show 'wx' op with hexpair bytes of assembled opcode
| 'wa nop;nop      assemble more than one instruction (note the single quote)
| waf f.asm        assemble file and write bytes
| waF f.asm        assemble file and write bytes and show 'wx' op with hexpair bytes of assembled code
| waF* f.asm       assemble file and show 'wx' op with hexpair bytes of assembled code
| wao?             show help for assembler operation on current opcode (hack)
| wao [op]  performs a modification on current opcode
| wao+[op]  same as 'wao', but seeks forward after writing
| wao nop   nop current opcode
| wao jinf  assemble an infinite loop
| wao jz    make current opcode conditional (same as je) (zero)
| wao jnz   make current opcode conditional (same as jne) (not zero)
| wao ret1  make the current opcode return 1
| wao ret0  make the current opcode return 0
| wao retn  make the current opcode return -1
| wao nocj  remove conditional operation from branch (make it unconditional)
| wao trap  make the current opcode a trap
| wao recj  reverse (swap) conditional branch instruction
| WIP:      not all archs are supported and not all commands work on all archs"
wc[jir+-*?]		"[{""command"": ""wc"", ""description"": ""list all write changes in the current cache layer""}, {""command"": ""wc*"", ""description"": ""print write commands to replicate the patches in the current cache layer""}, {""command"": ""wc**"", ""description"": ""same as 'wc*' but for all the cache layers""}, {""command"": ""wc+ [from] [to]"", ""description"": ""commit change from cache to io""}, {""command"": ""wc++"", ""description"": ""push a new io cache layer""}, {""command"": ""wc- [from] [to]"", ""description"": ""remove write op at curseek or given addr""}, {""command"": ""wc--"", ""description"": ""pop (discard) last write cache layer""}, {""command"": ""wcU"", ""description"": ""redo undone change (TODO)""}, {""command"": ""wca"", ""description"": ""list all write changes in all the cache layers""}, {""command"": ""wcd"", ""description"": ""list all write changes in disasm diff format""}, {""command"": ""wcf [file]"", ""description"": ""commit write cache into given file""}, {""command"": ""wci"", ""description"": ""commit write cache""}, {""command"": ""wcj"", ""description"": ""list all write changes in JSON""}, {""command"": ""wcl"", ""description"": ""list io cache layers""}, {""command"": ""wcp [fd]"", ""description"": ""list all cached write-operations on p-layer for specified fd or current fd""}, {""command"": ""wcp* [fd]"", ""description"": ""list all cached write-operations on p-layer in radare commands""}, {""command"": ""wcpi [fd]"", ""description"": ""commit and invalidate pcache for specified fd or current fd""}, {""command"": ""wcr"", ""description"": ""revert all writes in the cache""}, {""command"": ""wcs"", ""description"": ""squash the consecutive write ops""}, {""command"": ""wcu"", ""description"": ""undo last change""}, {""command"": ""Usage"", ""description"": ""write extend # resize the file""}, {""command"": ""wen <num>"", ""description"": ""extend the underlying file inserting NUM null bytes at current offset""}, {""command"": ""weN <addr> <len>"", ""description"": ""extend current file and insert bytes at address""}, {""command"": ""wes <addr>"", ""description"": ""<dist> <block_size> shift a blocksize left or write in the editor""}, {""command"": ""wex <hex_bytes>"", ""description"": ""insert bytes at current offset by extending the file""}, {""command"": ""weX <addr> <hex_bytes>"", ""description"": ""insert bytes at address by extending the file""}]"	"Usage: wc[jir+-*?]    # See `e io.cache = true`
| wc               list all write changes in the current cache layer
| wc*              print write commands to replicate the patches in the current cache layer
| wc**             same as 'wc*' but for all the cache layers
| wc+ [from] [to]  commit change from cache to io
| wc++             push a new io cache layer
| wc- [from] [to]  remove write op at curseek or given addr
| wc--             pop (discard) last write cache layer
| wcU              redo undone change (TODO)
| wca              list all write changes in all the cache layers
| wcd              list all write changes in disasm diff format
| wcf [file]       commit write cache into given file
| wci              commit write cache
| wcj              list all write changes in JSON
| wcl              list io cache layers
| wcp [fd]         list all cached write-operations on p-layer for specified fd or current fd
| wcp* [fd]        list all cached write-operations on p-layer in radare commands
| wcpi [fd]        commit and invalidate pcache for specified fd or current fd
| wcr              revert all writes in the cache
| wcs              squash the consecutive write ops
| wcu              undo last change
| Usage                            write extend # resize the file
| wen <num>                        extend the underlying file inserting NUM null bytes at current offset
| weN <addr> <len>                 extend current file and insert bytes at address
| wes <addr>  <dist> <block_size>  shift a blocksize left or write in the editor
| wex <hex_bytes>                  insert bytes at current offset by extending the file
| weX <addr> <hex_bytes>           insert bytes at address by extending the file"
wo[asmdxoArl24]	[hexpairs] @ addr[!bsize] write operation in current block	"[{""command"": ""wo2"", ""description"": ""2= 2 byte endian swap (word)""}, {""command"": ""wo4"", ""description"": ""4= 4 byte endian swap (dword)""}, {""command"": ""wo8"", ""description"": ""8= 8 byte endian swap (qword)""}, {""command"": ""woa [hexpair]"", ""description"": ""+= addition (f.ex: woa 0102)""}, {""command"": ""woA [hexpair]"", ""description"": ""&= and""}, {""command"": ""wod [hexpair]"", ""description"": ""/= divide""}, {""command"": ""woD [algo] [key] [IV]"", ""description"": ""decrypt current block with given algo and key""}, {""command"": ""woE [algo] [key] [IV]"", ""description"": ""encrypt current block with given algo and key""}, {""command"": ""woe [from] ([to] [step] [wsz=1])"", ""description"": ""write enumeration sequence i0 01 02 ..""}, {""command"": ""woi"", ""description"": ""inverse bytes in current block""}, {""command"": ""wol [val]"", ""description"": ""<<= shift left""}, {""command"": ""wom [val]"", ""description"": ""*= multiply""}, {""command"": ""woo [val]"", ""description"": ""|= or""}, {""command"": ""wop[DO] [arg]"", ""description"": ""De Bruijn Patterns""}, {""command"": ""wor [val]"", ""description"": "">>= shift right""}, {""command"": ""woR"", ""description"": ""random bytes (alias for 'wr $b')""}, {""command"": ""wos [val]"", ""description"": ""-= substraction""}, {""command"": ""woS [algo] [key]"", ""description"": ""sign the current block with given algo and key""}, {""command"": ""wow [val]"", ""description"": ""== write looped value (alias for 'wb')""}, {""command"": ""wox [val]"", ""description"": ""^= xor (f.ex: wox 0x90)""}]"	"Usage: wo[asmdxoArl24]   [hexpairs] @ addr[!bsize] write operation in current block
| wo2                               2= 2 byte endian swap (word)
| wo4                               4= 4 byte endian swap (dword)
| wo8                               8= 8 byte endian swap (qword)
| woa [hexpair]                     += addition (f.ex: woa 0102)
| woA [hexpair]                     &= and
| wod [hexpair]                     /= divide
| woD [algo] [key] [IV]             decrypt current block with given algo and key
| woE [algo] [key] [IV]             encrypt current block with given algo and key
| woe [from] ([to] [step] [wsz=1])  write enumeration sequence i0 01 02 ..
| woi                               inverse bytes in current block
| wol [val]                         <<= shift left
| wom [val]                         *= multiply
| woo [val]                         |= or
| wop[DO] [arg]                     De Bruijn Patterns
| wor [val]                         >>= shift right
| woR                               random bytes (alias for 'wr $b')
| wos [val]                         -= substraction
| woS [algo] [key]                  sign the current block with given algo and key
| wow [val]                         == write looped value (alias for 'wb')
| wox [val]                         ^= xor (f.ex: wox 0x90)"
wp	[-|r2patch-file]	"[{""command"": ""^#"", ""description"": ""comments""}, {""command"": ""."", ""description"": ""execute command""}, {""command"": ""!"", ""description"": ""execute command""}, {""command"": ""OFFSET { code block }"", ""description"": """"}, {""command"": ""OFFSET \""string\"""", ""description"": """"}, {""command"": ""OFFSET 01020304"", ""description"": """"}, {""command"": ""OFFSET : assembly"", ""description"": """"}, {""command"": ""+ {code}|\""str\""|0210|: asm"", ""description"": """"}]"	"Usage: wp  [-|r2patch-file]
| ^#  comments
| .   execute command
| !   execute command
|     OFFSET { code block }
|     OFFSET ""string""
|     OFFSET 01020304
|     OFFSET : assembly
|     + {code}|""str""|0210|: asm"
ws[124?] [string]	Pascal strings are not null terminated and store the length in binary at the beginning	"[{""command"": ""ws str"", ""description"": ""write pascal string using first byte as length""}, {""command"": ""ws1 str"", ""description"": ""same as above""}, {""command"": ""ws2 str"", ""description"": ""same as above but using ut16 as length (honors cfg.bigendian)""}, {""command"": ""ws4 str"", ""description"": ""same, but using ut32 (honors cfg.bigendian)""}]"	"Usage: ws[124?] [string]  Pascal strings are not null terminated and store the length in binary at the beginning
| ws str   write pascal string using first byte as length
| ws1 str  same as above
| ws2 str  same as above but using ut16 as length (honors cfg.bigendian)
| ws4 str  same, but using ut32 (honors cfg.bigendian)"
