main_command	main_description	command	description
CC[-+!*au] [base64:..|str] @ addr	'sz' indicates the byte size taken up by struct. 'fmt' is a 'pf?' style format string. It controls only the display format. You may wish to have 'sz' != sizeof (fmt) when you have a large struct but have only identified specific fields in it. In that case, use 'fmt' to show the fields you know about (perhaps using 'skip' fields), and 'sz' to match the total struct size in mem.	CC*	list all comments in r2 commands
CC[-+!*au] [base64:..|str] @ addr	'sz' indicates the byte size taken up by struct. 'fmt' is a 'pf?' style format string. It controls only the display format. You may wish to have 'sz' != sizeof (fmt) when you have a large struct but have only identified specific fields in it. In that case, use 'fmt' to show the fields you know about (perhaps using 'skip' fields), and 'sz' to match the total struct size in mem.	CC+ [text]	append comment at current address
CC[-+!*au] [base64:..|str] @ addr	'sz' indicates the byte size taken up by struct. 'fmt' is a 'pf?' style format string. It controls only the display format. You may wish to have 'sz' != sizeof (fmt) when you have a large struct but have only identified specific fields in it. In that case, use 'fmt' to show the fields you know about (perhaps using 'skip' fields), and 'sz' to match the total struct size in mem.	CC, [table-query]	list comments in table format
CC[-+!*au] [base64:..|str] @ addr	'sz' indicates the byte size taken up by struct. 'fmt' is a 'pf?' style format string. It controls only the display format. You may wish to have 'sz' != sizeof (fmt) when you have a large struct but have only identified specific fields in it. In that case, use 'fmt' to show the fields you know about (perhaps using 'skip' fields), and 'sz' to match the total struct size in mem.	CCF [file]	show or set comment file
CC[-+!*au] [base64:..|str] @ addr	'sz' indicates the byte size taken up by struct. 'fmt' is a 'pf?' style format string. It controls only the display format. You may wish to have 'sz' != sizeof (fmt) when you have a large struct but have only identified specific fields in it. In that case, use 'fmt' to show the fields you know about (perhaps using 'skip' fields), and 'sz' to match the total struct size in mem.	CC- @ cmt_addr	remove comment at given address
CC[-+!*au] [base64:..|str] @ addr	'sz' indicates the byte size taken up by struct. 'fmt' is a 'pf?' style format string. It controls only the display format. You may wish to have 'sz' != sizeof (fmt) when you have a large struct but have only identified specific fields in it. In that case, use 'fmt' to show the fields you know about (perhaps using 'skip' fields), and 'sz' to match the total struct size in mem.	CC.	show comment at current offset
CC[-+!*au] [base64:..|str] @ addr	'sz' indicates the byte size taken up by struct. 'fmt' is a 'pf?' style format string. It controls only the display format. You may wish to have 'sz' != sizeof (fmt) when you have a large struct but have only identified specific fields in it. In that case, use 'fmt' to show the fields you know about (perhaps using 'skip' fields), and 'sz' to match the total struct size in mem.	CCf	list comments in function
CC[-+!*au] [base64:..|str] @ addr	'sz' indicates the byte size taken up by struct. 'fmt' is a 'pf?' style format string. It controls only the display format. You may wish to have 'sz' != sizeof (fmt) when you have a large struct but have only identified specific fields in it. In that case, use 'fmt' to show the fields you know about (perhaps using 'skip' fields), and 'sz' to match the total struct size in mem.	CCf-	delete all comments in current function
CC[-+!*au] [base64:..|str] @ addr	'sz' indicates the byte size taken up by struct. 'fmt' is a 'pf?' style format string. It controls only the display format. You may wish to have 'sz' != sizeof (fmt) when you have a large struct but have only identified specific fields in it. In that case, use 'fmt' to show the fields you know about (perhaps using 'skip' fields), and 'sz' to match the total struct size in mem.	CCu base64:AA== @ addr	add comment in base64
CC[-+!*au] [base64:..|str] @ addr	'sz' indicates the byte size taken up by struct. 'fmt' is a 'pf?' style format string. It controls only the display format. You may wish to have 'sz' != sizeof (fmt) when you have a large struct but have only identified specific fields in it. In that case, use 'fmt' to show the fields you know about (perhaps using 'skip' fields), and 'sz' to match the total struct size in mem.	CCu good boy @ addr	add good boy comment at given address
CC[-+!*au] [base64:..|str] @ addr	'sz' indicates the byte size taken up by struct. 'fmt' is a 'pf?' style format string. It controls only the display format. You may wish to have 'sz' != sizeof (fmt) when you have a large struct but have only identified specific fields in it. In that case, use 'fmt' to show the fields you know about (perhaps using 'skip' fields), and 'sz' to match the total struct size in mem.	Cf[?][-] [sz] [0|cnt][fmt] [a0 a1...] [@addr]	format memory (see pf?)
Cs[ga-*.] ([size]) [@addr]		Cs [size] @addr	add string (guess latin1/utf16le)
Cs[ga-*.] ([size]) [@addr]		Cs	list all strings in human friendly form
Cs[ga-*.] ([size]) [@addr]		Cs*	list all strings in r2 commands
Cs[ga-*.] ([size]) [@addr]		Cs- [@addr]	remove string
Cs[ga-*.] ([size]) [@addr]		Cs.	show string at current address
Cs[ga-*.] ([size]) [@addr]		Cs..	show string + info about it at current address
Cs[ga-*.] ([size]) [@addr]		Cs.j	show string at current address in JSON
Cs[ga-*.] ([size]) [@addr]		Cs8 [size] ([@addr])	add utf8 string
Cs[ga-*.] ([size]) [@addr]		Csa [size] ([@addr])	add ascii/latin1 string
Cs[ga-*.] ([size]) [@addr]		Csg [size] ([@addr])	add ascii/latin1 string  but addr not needed
Cs[ga-*.] ([size]) [@addr]		Csw [size] ([@addr])	add wide string (utf16)
Cs[ga-*.] ([size]) [@addr]		Csz [size] ([@addr])	define zero terminated strings (with size as maxlen)
Cs[ga-*.] ([size]) [@addr]		Css ([range]) ([@addr])	define all strings found in given range or section
Cs[ga-*.] ([size]) [@addr]		Cz [size] [@addr]	Alias for Csz
Ct [.|-] [@ addr]	# Manage comments for variable types	Ct	list all variable type comments
Ct [.|-] [@ addr]	# Manage comments for variable types	Ct comment-text [@ addr]	place comment at current or specified address
Ct [.|-] [@ addr]	# Manage comments for variable types	Ct. [@ addr]	show comment at current or specified address
Ct [.|-] [@ addr]	# Manage comments for variable types	Ct- [@ addr]	remove comment at current or specified address
d	# Debug commands	d:[?] [cmd]	run custom debug plugin command
d	# Debug commands	db[?]	breakpoints commands
d	# Debug commands	dbt[?]	display backtrace based on dbg.btdepth and dbg.btalgo
d	# Debug commands	dc[?]	continue execution
d	# Debug commands	dd[?][*+-tsdfrw]	manage file descriptors for child process
d	# Debug commands	de[-sc] [perm] [rm] [e]	debug with ESIL (see de?)
d	# Debug commands	dg <file>	generate a core-file (WIP)
d	# Debug commands	dh [plugin-name]	select a new debug handler plugin (see dbh)
d	# Debug commands	dH [handler]	transplant process to a new handler
d	# Debug commands	di[?]	show debugger backend information (See dh)
d	# Debug commands	dk[?]	list, send, get, set, signal handlers of child
d	# Debug commands	dL[?]	list or set debugger handler
d	# Debug commands	dm[?]	show memory maps
d	# Debug commands	do[?]	open process (reload, alias for 'oo')
d	# Debug commands	doo[args]	reopen in debug mode with args (alias for 'ood')
d	# Debug commands	doof[file]	reopen in debug mode from file (alias for 'oodf')
d	# Debug commands	doc	close debug session
d	# Debug commands	dp[?]	list, attach to process or thread id
d	# Debug commands	dr[?]	cpu registers
d	# Debug commands	ds[?]	step, over, source line
d	# Debug commands	dt[?]	display instruction traces
d	# Debug commands	dw <pid>	block prompt until pid dies
d	# Debug commands	dx[?][aers]	execute code in the child process
d	# Debug commands	date [-b]	use -b for beat time
db	# Breakpoints commands	db	list breakpoints
db	# Breakpoints commands	db*	list breakpoints in r commands
db	# Breakpoints commands	db sym.main	add breakpoint into sym.main
db	# Breakpoints commands	db <addr>	add breakpoint
db	# Breakpoints commands	dbH <addr>	add hardware breakpoint
db	# Breakpoints commands	db- <addr>	remove breakpoint
db	# Breakpoints commands	db-*	remove all the breakpoints
db	# Breakpoints commands	db.	show breakpoint info in current offset
db	# Breakpoints commands	dbj	list breakpoints in JSON format
db	# Breakpoints commands	dbc <addr> <cmd>	run command when breakpoint is hit
db	# Breakpoints commands	dbC <addr> <cmd>	run command but continue until <cmd> returns zero
db	# Breakpoints commands	dbd <addr>	disable breakpoint
db	# Breakpoints commands	dbe <addr>	enable breakpoint
db	# Breakpoints commands	dbs <addr>	toggle breakpoint
db	# Breakpoints commands	dbf	put a breakpoint into every no-return function
db	# Breakpoints commands	dbm <module> <offset>	add a breakpoint at an offset from a module's base
db	# Breakpoints commands	dbn [<name>]	show or set name for current breakpoint
db	# Breakpoints commands	dbi	list breakpoint indexes
db	# Breakpoints commands	dbi <addr>	show breakpoint index in givengiven offset
db	# Breakpoints commands	dbi.	show breakpoint index in current offset
db	# Breakpoints commands	dbi- <idx>	remove breakpoint by index
db	# Breakpoints commands	dbix <idx> [expr]	set expression for bp at given index
db	# Breakpoints commands	dbic <idx> <cmd>	run command at breakpoint index
db	# Breakpoints commands	dbie <idx>	enable breakpoint by index
db	# Breakpoints commands	dbid <idx>	disable breakpoint by index
db	# Breakpoints commands	dbis <idx>	swap Nth breakpoint
db	# Breakpoints commands	dbite <idx>	enable breakpoint Trace by index
db	# Breakpoints commands	dbitd <idx>	disable breakpoint Trace by index
db	# Breakpoints commands	dbits <idx>	swap Nth breakpoint trace
db	# Breakpoints commands	dbh x86	set/list breakpoint plugin handlers
db	# Breakpoints commands	dbh- <name>	remove breakpoint plugin handler
db	# Breakpoints commands	dbt[?]	show backtrace. See dbt? for more details
db	# Breakpoints commands	dbx [expr]	set expression for bp in current offset
db	# Breakpoints commands	dbw <addr> <r/w/rw>	add watchpoint
db	# Breakpoints commands	drx number addr len perm	modify hardware breakpoint
db	# Breakpoints commands	drx-number	clear hardware breakpoint
dbt	# Backtrace commands	dbt	display backtrace based on dbg.btdepth and dbg.btalgo
dbt	# Backtrace commands	dbt*	display backtrace in flags
dbt	# Backtrace commands	dbt=	display backtrace in one line (see dbt=s and dbt=b for sp or bp)
dbt	# Backtrace commands	dbtv	display backtrace with local vars if any
dbt	# Backtrace commands	dbtj	display backtrace in JSON
dbt	# Backtrace commands	dbta	display ascii-art representation of the stack backtrace
dbt	# Backtrace commands	dbte <addr>	enable Breakpoint Trace
dbt	# Backtrace commands	dbtd <addr>	disable Breakpoint Trace
dbt	# Backtrace commands	dbts <addr>	swap Breakpoint Trace
dbt	# Backtrace commands	dbt	display backtrace based on dbg.btdepth and dbg.btalgo
dbt	# Backtrace commands	dbt*	display backtrace in flags
dbt	# Backtrace commands	dbt=	display backtrace in one line (see dbt=s and dbt=b for sp or bp)
dbt	# Backtrace commands	dbtv	display backtrace with local vars if any
dbt	# Backtrace commands	dbtj	display backtrace in JSON
dbt	# Backtrace commands	dbta	display ascii-art representation of the stack backtrace
dbt	# Backtrace commands	dbte <addr>	enable Breakpoint Trace
dbt	# Backtrace commands	dbtd <addr>	disable Breakpoint Trace
dbt	# Backtrace commands	dbts <addr>	swap Breakpoint Trace
dc	Execution continuation commands	dc	continue execution of all children
dc	Execution continuation commands	dc <pid>	continue execution of pid
dc	Execution continuation commands	dc[-pid]	stop execution of pid
dc	Execution continuation commands	dcb	continue back until breakpoint
dc	Execution continuation commands	dcc	continue until call (use step into)
dc	Execution continuation commands	dcco	continue until call (use step over)
dc	Execution continuation commands	dccu	continue until unknown call (call reg)
dc	Execution continuation commands	dce	continue execution (pass exception to program)
dc	Execution continuation commands	dcf	continue until fork (TODO)
dc	Execution continuation commands	dck <signal> <pid>	continue sending signal to process
dc	Execution continuation commands	dcp	continue until program code (mapped io section)
dc	Execution continuation commands	dcr	continue until ret (uses step over)
dc	Execution continuation commands	dcs[?] <num>	continue until syscall
dc	Execution continuation commands	dct <len>	traptrace from curseek to len, no argument to list
dc	Execution continuation commands	dcu[?] [..end|addr] ([end])	continue until address (or range)
dcs	Continue until syscall	dcs	continue until next syscall
dcs	Continue until syscall	dcs [str]	continue until next call to the 'str' syscall
dcs	Continue until syscall	dcs*	trace all syscalls, a la strace
dcu	Continue until address	dcu.	alias for dcu $$ (continue until current address)
dcu	Continue until address	dcu address	continue until address
dcu	Continue until address	dcu [..tail]	continue until the range
dcu	Continue until address	dcu [from] [to]	continue until the range
dd	Manage file descriptors for child process (* to show r2 commands)	dd[*]	list file descriptors
dd	Manage file descriptors for child process (* to show r2 commands)	dd[*] <file|addr>	open file as read-only (r--); addr = use as char* for path
dd	Manage file descriptors for child process (* to show r2 commands)	dd+[*] <file|addr>	open/create file as read-write (rw-); addr = use as char* for path
dd	Manage file descriptors for child process (* to show r2 commands)	dd-[*] <fd>	close fd
dd	Manage file descriptors for child process (* to show r2 commands)	ddt[*]	close terminal fd (alias for `dd- 0`)
dd	Manage file descriptors for child process (* to show r2 commands)	dds[*] <fd> [offset]	seek fd to offset (no offset = seek to beginning)
dd	Manage file descriptors for child process (* to show r2 commands)	ddd[*] <oldfd> <newfd>	copy oldfd to newfd with dup2
dd	Manage file descriptors for child process (* to show r2 commands)	ddf[*] <addr>	create pipe and write fds to (int[2])addr
dd	Manage file descriptors for child process (* to show r2 commands)	ddr[*] <fd> <addr> <size>	read bytes from fd into (char*)addr
dd	Manage file descriptors for child process (* to show r2 commands)	ddw[*] <fd> <addr> <size>	write bytes from (const char*)addr to fd
di	Debugger target information	di	show debugger target information
di	Debugger target information	di*	show debugger target information , but in r2 commands
di	Debugger target information	dir	alias for 'ls'
di	Debugger target information	diq	alias for 'ls' , but in one line
di	Debugger target information	dij	same as above, but in one line , but in JSON format
di	Debugger target information	dif [$a] [$b]	compare two files (or $alias files)
dk	Signal commands	dk	list all signal handlers of child process
dk	Signal commands	dk <signal>	send KILL signal to child
dk	Signal commands	dk <signal>=1	set signal handler for <signal> in child
dk	Signal commands	dk?<signal>	name/signum resolver
dk	Signal commands	dko[?] <signal>	reset skip or cont options for given signal
dk	Signal commands	dko <signal> [|skip|cont]	on signal SKIP handler or CONT into
dk	Signal commands	dkj	list all signal handlers in JSON
dko	# Signal handling commands NOTE: [signal] can be a number or a string that resolves with dk? skip means do not enter into the signal handler continue means enter into the signal handler	dko	list existing signal handling
dko	# Signal handling commands NOTE: [signal] can be a number or a string that resolves with dk? skip means do not enter into the signal handler continue means enter into the signal handler	dko [signal]	clear handling for a signal
dko	# Signal handling commands NOTE: [signal] can be a number or a string that resolves with dk? skip means do not enter into the signal handler continue means enter into the signal handler	dko [signal] [skip|cont]	set handling for a signal
dL	List or set debugger handler	dL	list debugger handlers
dL	List or set debugger handler	dLq	list debugger handlers in quiet mode
dL	List or set debugger handler	dLj	list debugger handlers in json mode
dL	List or set debugger handler	dL <handler>	set debugger handler
dm	# Memory maps commands	dm	list memory maps of target process
dm	# Memory maps commands	dm address size	allocate <size> bytes at <address> (anywhere if address is -1) in child process
dm	# Memory maps commands	dm=	list memory maps of target process (ascii-art bars)
dm	# Memory maps commands	dm.	show map name of current address
dm	# Memory maps commands	dm*	list memmaps in radare commands
dm	# Memory maps commands	dm- address	deallocate memory map of <address>
dm	# Memory maps commands	dmd[aw] [file]	dump current (all or writable) debug map region to a file (from-to.dmp) (see Sd)
dm	# Memory maps commands	dmh[?]	show map of heap
dm	# Memory maps commands	dmi [addr|libname] [symname]	list symbols of target lib
dm	# Memory maps commands	dmi* [addr|libname] [symname]	list symbols of target lib in radare commands
dm	# Memory maps commands	dmi.	list closest symbol to the current address
dm	# Memory maps commands	dmis [libname]	same as .dmi* - import all symbols from given lib as flags
dm	# Memory maps commands	dmiv	show address of given symbol for given lib
dm	# Memory maps commands	dmj	list memmaps in JSON format
dm	# Memory maps commands	dml <file>	load contents of file into the current map region
dm	# Memory maps commands	dmm[?][j*]	list modules (libraries, binaries loaded in memory)
dm	# Memory maps commands	dmp[?] <address> <size> <perms>	change page at <address> with <size>, protection <perms> (perm)
dm	# Memory maps commands	dms[?] <id> <mapaddr>	take/store memory snapshot
dm	# Memory maps commands	dms- <id> <mapaddr>	restore memory snapshot
dm	# Memory maps commands	dmS[*] [addr|libname] [sectname]	list sections of target lib
dm	# Memory maps commands	dmL address size	allocate <size> bytes at <address> and promote to huge page
dmh[?]	# debug memory heap	dmh	List process memory zones
dmm	# Module memory maps commands	dmm	list modules of target process
dmm	# Module memory maps commands	dmm*	list modules of target process (r2 commands)
dmm	# Module memory maps commands	dmm.	list memory map of current module
dmm	# Module memory maps commands	dmmj	list modules of target process (JSON)
dmp	Change page permissions	dmp [addr] [size] [perms]	change permissions
dmp	Change page permissions	dmp [perms]	change dbg.map permissions
dmp	Change page permissions	dms[?] <id> <mapaddr>	take/store memory snapshot
dmp	Change page permissions	dms- <id> <mapaddr>	restore memory snapshot
dms	# Memory map snapshots	dms	list memory snapshots
dms	# Memory map snapshots	dms addr	take snapshot with given id of map at address
dms	# Memory map snapshots	dms-id	delete memory snapshot
dms	# Memory map snapshots	dms.	take snapshot of current map
dms	# Memory map snapshots	dms-	revert to previous snapshot
dms	# Memory map snapshots	dms+	re-apply snapshot
dms	# Memory map snapshots	dms*	list snapshots in r2 commands
dms	# Memory map snapshots	dmsj	list snapshots in JSON
dms	# Memory map snapshots	dmsC id comment	add comment for given snapshot
dms	# Memory map snapshots	dmsd id	hexdiff given snapshot. See `ccc`.
dms	# Memory map snapshots	dmsw	snapshot of the writable maps
dms	# Memory map snapshots	dmsa	full snapshot of all `dm` maps
do	# Debug (re)open commands	do	open process (reload, alias for 'oo')
do	# Debug (re)open commands	dor [rarun2]	comma separated list of k=v rarun2 profile options (e dbg.profile)
do	# Debug (re)open commands	doe	show rarun2 startup profile
do	# Debug (re)open commands	doe!	edit rarun2 startup profile with $EDITOR
do	# Debug (re)open commands	doo [args]	Reopen in debug mode with args (alias for 'ood')
do	# Debug (re)open commands	doof [args]	Reopen in debug mode from file (alias for 'oodf')
do	# Debug (re)open commands	doc	close debug session
dp	# Process commands	dp	list current pid and children
dp	# Process commands	dpq	same as dp. just show the current process id
dp	# Process commands	dp <pid>	list children of pid
dp	# Process commands	dpj <pid>	list children of pid in JSON format
dp	# Process commands	dpl	list all attachable pids
dp	# Process commands	dplj	list all attachable pids in JSON format
dp	# Process commands	dp- <pid>	detach select pid
dp	# Process commands	dp=<pid>	select pid
dp	# Process commands	dpa <pid>	attach and select pid
dp	# Process commands	dpc	select forked pid (see dbg.forks)
dp	# Process commands	dpc*	display forked pid (see dbg.forks)
dp	# Process commands	dpe	show path to executable
dp	# Process commands	dpf	attach to pid like file fd // HACK
dp	# Process commands	dpk <pid> [<signal>]	send signal to process (default 0)
dp	# Process commands	dpn	create new process (fork)
dp	# Process commands	dpt[?][j]	list threads of current pid
dp	# Process commands	dpt <pid>	list threads of process
dp	# Process commands	dpt.	show current thread id
dp	# Process commands	dptj	list threads of current pid in JSON format
dp	# Process commands	dptn	create new thread (clone)
dp	# Process commands	dptj <pid>	list threads of process in JSON format
dp	# Process commands	dpt=<thread>	attach to thread
dp	# Process commands	dpt[?][j]	list threads of current pid
dp	# Process commands	dpt <pid>	list threads of process
dp	# Process commands	dpt.	show current thread id
dp	# Process commands	dptj	list threads of current pid in JSON format
dp	# Process commands	dptn	create new thread (clone)
dp	# Process commands	dptj <pid>	list threads of process in JSON format
dp	# Process commands	dpt=<thread>	attach to thread
dr	Registers commands	dr	show 'gpr' registers
dr	Registers commands	dr <register>=<val>	set register value
dr	Registers commands	dr. >$snapshot	capture current register values in r2 alias file
dr	Registers commands	dr, [table-query]	enumerate registers in table format
dr	Registers commands	dr0	zero-fill the register arena, reset their state
dr	Registers commands	dr8[1|2|4|8] [type]	display hexdump of gpr arena (WIP)
dr	Registers commands	dr=	show registers in columns
dr	Registers commands	dr?<register>	show value of given register
dr	Registers commands	dr??	same as dr?`drp~=[0]+` # list all reg roles alias names and values
dr	Registers commands	dra[?]	manage register arenas. see ara?
dr	Registers commands	drb[1|2|4|8] [type]	display hexdump of gpr arena (WIP)
dr	Registers commands	drc [name]	related to conditional flag registers
dr	Registers commands	drC [register]	show register comments
dr	Registers commands	drd	show only different registers
dr	Registers commands	dre	show esil expression to set register values (like dr*)
dr	Registers commands	drf	show fpu registers (80 bit long double)
dr	Registers commands	dri	show inverse registers dump (sorted by value)
dr	Registers commands	drl[j]	list all register names
dr	Registers commands	drv[?]	show vector registers (also known as sve / packed / multimedia)
dr	Registers commands	dro	show previous (old) values of registers
dr	Registers commands	drp[?]	display current register profile
dr	Registers commands	drr	show registers references (telescoping)
dr	Registers commands	drrj	show registers references (telescoping) in JSON format
dr	Registers commands	drs[?]	stack register states
dr	Registers commands	drt[?]	show all register types
dr	Registers commands	drw <hexnum>	set contents of the register arena
dr	Registers commands	drx[?]	show debug registers
dr	Registers commands	.dr*	include common register values in flags
dr	Registers commands	.dr-	unflag all registers
ara[+-s]	register Arena Push/Pop/Swap	ara	show all register arenas allocated
ara[+-s]	register Arena Push/Pop/Swap	ara+	push a new register arena for each type
ara[+-s]	register Arena Push/Pop/Swap	ara-	pop last register arena
ara[+-s]	register Arena Push/Pop/Swap	aras	swap last two register arenas
arp	# Register profile commands	arp	show the current register profile
arp	# Register profile commands	arp [regprofile-file]	set the current register profile
arp	# Register profile commands	arp [gdb] [regprofile-file]	parse gdb register profile and dump an r2 profile string
arp	# Register profile commands	arp*	print r2 commands creating flags for each register inside the arena offset
arp	# Register profile commands	arpc	show register profile comments
arp	# Register profile commands	arpi	show internal representation of the register profile
arp	# Register profile commands	arp.	show the current fake size
arp	# Register profile commands	arpj	show the current register profile (JSON)
arp	# Register profile commands	arps [new fake size]	get or set the register profile size
arp	# Register profile commands	arpg	show register profile comments
arp	# Register profile commands	NOTE:	this help will show arp if you run drp? when cfg.debug=0
drs	# Register states commands	drs	list register stack
drs	# Register states commands	drs+	push register state
drs	# Register states commands	drs-	pop register state
drs	# Register states commands	drt[?]	show all register types
ds	Step commands	ds	step one instruction
ds	Step commands	ds <num>	step <num> instructions
ds	Step commands	dsb	step back one instruction
ds	Step commands	dsf	step until end of frame
ds	Step commands	dsi <cond>	continue until condition matches
ds	Step commands	dsl	step one source line
ds	Step commands	dsl <num>	step <num> source lines
ds	Step commands	dso <num>	step over <num> instructions
ds	Step commands	dsp	step into program (skip libs)
ds	Step commands	dss <num>	skip <num> step instructions
ds	Step commands	dsu[?] <address>	step until <address>. See 'dsu?' for other step until cmds.
dsu	Step until commands	dsu <address>	step until <address>
dsu	Step until commands	dsui <instr>	step until an instruction disasm matches
dsu	Step until commands	dsuir <regex>	like dsui, but using a regexp
dsu	Step until commands	dsuo <optype> [<optype> ...]	step until an instr matches one of the <optype>s.
dsu	Step until commands	dsue <esil>	step until <esil> expression matches
dsu	Step until commands	dsuf <flag>	step until pc == <flag> matching name
dt	Trace commands	dt	list all traces
dt	Trace commands	dt [addr]	show trace info at address
dt	Trace commands	dt*	list all traced opcode offsets
dt	Trace commands	dtj	list instruction trace logs in json
dt	Trace commands	dt+ [addr] [times]	add trace for address N times
dt	Trace commands	dt-	reset traces (instruction/calls)
dt	Trace commands	dt=	show ascii-art color bars with the debug trace ranges
dt	Trace commands	dta 0x804020 ...	only trace given addresses
dt	Trace commands	dtc[?][addr]|([from] [to] [addr])	trace call/ret
dt	Trace commands	dtd[qi] [nth-start]	list all traced disassembled (quiet, instructions)
dt	Trace commands	dte[?]	show esil trace logs
dt	Trace commands	dtg	graph call/ret trace
dt	Trace commands	dtg*	graph in agn/age commands. use .dtg*;aggi for visual
dt	Trace commands	dtgi	interactive debug trace
dt	Trace commands	dts[?]	manage trace sessions, used for step back (EXPERIMENTAL)
dt	Trace commands	dtt [tag]	select trace tag (no arg unsets)
dt	Trace commands	dtt.	show current tag
dt	Trace commands	dtc[?][addr]|([from] [to] [addr])	trace call/ret
dte	Show esil trace logs	dte	esil trace log for a single instruction
dte	Show esil trace logs	dte [idx]	show commands for that index log
dte	Show esil trace logs	dte-*	delete all the esil traces recorded
dte	Show esil trace logs	dtei	emulate instruction and record a trace their effects
dte	Show esil trace logs	dted	disassemble all traced instructions
dte	Show esil trace logs	dtek [sdb query]	esil trace log single instruction from sdb
dts[*]	Trace sessions	dts+	start trace session
dts[*]	Trace sessions	dts-	stop trace session
dts[*]	Trace sessions	dtst [dir]	save trace sessions to disk
dts[*]	Trace sessions	dtsf [dir]	read trace sessions from disk
dts[*]	Trace sessions	dtsm	list current memory map and hash
dx [aers]	Debug execution commands Examples:	dx <hexpairs>	execute opcodes
dx [aers]	Debug execution commands Examples:	dxa <asm>	assemble code and execute
dx [aers]	Debug execution commands Examples:	dxe[?] <egg-expr>	compile egg expression and execute it
dx [aers]	Debug execution commands Examples:	dxr <hexpairs>	execute opcodes and restore state
dx [aers]	Debug execution commands Examples:	dxrs <hexpairs>	execute opcodes and restore state, excluding the stack
dx [aers]	Debug execution commands Examples:	dxs <name> [args]	syscall injection (see gs)
dx [aers]	Debug execution commands Examples:	dx 9090	execute two x86 nops
dx [aers]	Debug execution commands Examples:	"""dxa mov eax,6;mov ebx,0;"""	assemble and execute
dx [aers]	Debug execution commands Examples:	dxs write 1, 0x8048, 12	write 12 bytes from 0x8048 into stdout
dxe	egg-program # see ragg2 and the 'g' command for more details	"dxe sym.imp.puts(""foo"")"	call puts with a string argument
e [var[=value]]	Evaluable vars	e?asm.bytes	show description
e [var[=value]]	Evaluable vars	e??	list config vars with description
e [var[=value]]	Evaluable vars	e a	get value of var 'a'
e [var[=value]]	Evaluable vars	e a=b	set var 'a' the 'b' value
e [var[=value]]	Evaluable vars	e.a=b	same as 'e a=b' but without using a space
e [var[=value]]	Evaluable vars	e,[table-query]	show the output in table format
e [var[=value]]	Evaluable vars	e/asm	filter configuration variables by name
e [var[=value]]	Evaluable vars	e:k=v:k=v:k=v	comma or colon separated k[=v]
e [var[=value]]	Evaluable vars	e-	reset config vars
e [var[=value]]	Evaluable vars	e*	dump config vars in r commands
e [var[=value]]	Evaluable vars	e!a	invert the boolean value of 'a' var
e [var[=value]]	Evaluable vars	ec[?] [k] [color]	set color for given key (prompt, offset, ...)
e [var[=value]]	Evaluable vars	ee [var]	open cfg.editor to change the value of var
e [var[=value]]	Evaluable vars	ed	open editor to change the ~/.radare2rc
e [var[=value]]	Evaluable vars	ed-[!]	delete ~/.radare2c (Use ed-! to delete without prompting)
e [var[=value]]	Evaluable vars	ej	list config vars in JSON
e [var[=value]]	Evaluable vars	eJ	list config vars in verbose JSON
e [var[=value]]	Evaluable vars	en	list environment vars
e [var[=value]]	Evaluable vars	env [k[=v]]	get/set environment variable
e [var[=value]]	Evaluable vars	er [key]	set config key as readonly. no way back
e [var[=value]]	Evaluable vars	es [space]	list all eval spaces [or keys]
e [var[=value]]	Evaluable vars	et [key]	show type of given config variable
e [var[=value]]	Evaluable vars	ev [key]	list config vars in verbose format
e [var[=value]]	Evaluable vars	evj [key]	list config vars in verbose format in JSON
ec[s?] [key][[=| ]fg] [bg]	Vars:	ec [key]	list all/key color keys
ec[s?] [key][[=| ]fg] [bg]	Vars:	ec*	list all/key color keys , but using r2 commands
ec[s?] [key][[=| ]fg] [bg]	Vars:	ecd	set default palette
ec[s?] [key][[=| ]fg] [bg]	Vars:	ecr	set random palette (see also scr.randpal)
ec[s?] [key][[=| ]fg] [bg]	Vars:	ecs	show a colorful palette
ec[s?] [key][[=| ]fg] [bg]	Vars:	ecj	show palette in JSON
ec[s?] [key][[=| ]fg] [bg]	Vars:	ecc [prefix]	show palette in CSS
ec[s?] [key][[=| ]fg] [bg]	Vars:	eco [theme]	load theme if provided (list available themes if not)
ec[s?] [key][[=| ]fg] [bg]	Vars:	ecp	load previous color theme
ec[s?] [key][[=| ]fg] [bg]	Vars:	ecn	load next color theme
ec[s?] [key][[=| ]fg] [bg]	Vars:	ecH[?]	highlight word or instruction
ec[s?] [key][[=| ]fg] [bg]	Vars:	ec prompt red	change color of prompt
ec[s?] [key][[=| ]fg] [bg]	Vars:	ec prompt red blue	change color and background of prompt
ec[s?] [key][[=| ]fg] [bg]	Vars:	colors:	rgb:000, red, green, blue, #ff0000, ...
ec[s?] [key][[=| ]fg] [bg]	Vars:	e scr.color=0	use more colors (0: no color 1: ansi 16, 2: 256, 3: 16M)
ec[s?] [key][[=| ]fg] [bg]	Vars:	$DATADIR/radare2/cons	~/.local/share/radare2/cons
ecH[iw-?]		ecHi[color]	highlight current instruction with 'color' background
ecH[iw-?]		ecHw[word] [color]	highlight 'word ' in current instruction with 'color' background
ecH[iw-?]		ecH	list all the highlight rules
ecH[iw-?]		ecH.	show highlight rule in current offset
ecH[iw-?]		ecH-*	remove all the highlight hints
ecH[iw-?]		ecH-	remove all highlights on current instruction
f [?] [flagname]	# Manage offset-name flags	f	list flags (will only list flags from selected flagspaces)
